"일자	",순위,토픽1,토픽2,토픽3,토픽4,토픽5,토픽6,토픽 키워드
2012.10.23,4,미국,대선,토론,최종전,오바마,승리,"승리,토론,미국,미국_대선,최종전,대선,오바마"
2012.10.23,5,공화당,오바마,민주당,롬니,,,"공화당,민주당,롬니,오바마"
2012.10.23,6,강원도,위원,위원회,활동,논란,,"논란,활동,강원,강원도,위원,위원회"
2012.10.23,7,휴켐스,분기,실적,호조,예상,매수,"공공기관,실적_호조,예상,한국토지신탁,호조,호조_예상,실적호조,휴켐스,급등,분기,도시,매수,공공,실적,분양,택지,혁신,충북_혁신도시,택지분양,기관,충북"
2012.10.23,8,전직,경찰관,문재인,후보,지지,선언,"전직,지지_선언,후보,문재인,선언,지지,경찰관,문재인_후보"
2012.10.23,9,한국,기업,환경,세계,,,"분야,재산권,환경,재산,한국_기업환경,등록,등록분야,세계,기업,기업환경,한국"
2012.10.23,10,분기,증권,결제대금,대비,증가,,"결제대금,분기,증권,결제,대비,증가,대금,분기_대비"
2012.10.24,1,대우건설,분기,전년,영업,이익,감소,"통신,수출액,한전,대우건설,창사이래_최대_수주,일신,연말,해외서_대형,해외서,분기,철도통신시스템_수주,지연,사업_수주,한전기술,최대,두산,엠피씨,현대중공업,부진,수주_부진,전년,비츠로시스,동결,사업,대형,통신시스템,하나대투,이익,명예퇴직,이래,코스닥,구명조끼,해군,약세,엠피,일신바이오,감소,생생코스닥,철도,창사이래_최대,말레이시아,영업,생생,수주감소,수주,수주_지연,건조기,창사"
2012.10.24,2,경찰,허위전화,소녀,불구속,입건,,"경찰,임신,불구속_입건,허위전화,충격,가다,허위,불구속,아기,입건,허위전,소녀"
2012.10.24,3,내곡동,특검,이시형,씨,내일,소환통보,"내곡동,특검,이시형,소환,통보,내곡동_특검,이시형_씨_내일_소환통보"
2012.10.24,4,증시,기업,실적,부진,급락,,"업계_영향,맞춤,증시,거래일,코스피,연속_하락,맞춤형_억제전략,전략,핵위협,차종,업계,글로벌,거짓말,글로벌_증시_급락,글로벌_증시,억제전략,나흘째_하락,장중,부진,붕괴_위협,나흘,폐차업계_위협,대외,실적,대외_악재,하락,마련,칼부림위협,급락,연속,제한,폐차업계,미미,악재,영향,실적_부진,여친,억제,결국,붕괴,칼부림,스페인,기업,위협"
2012.10.24,5,이명박,대통령,큰형,이상,회장,귀국,"경호처,논란,큰형,회장,청와대,서울,세종로,서울_세종로,시형씨_출두,거짓말,시형,내곡동,이명박_대통령_큰형_이상,신호등,이명박_대통령,이명박,출두,대통령,내곡동_사저,개입_사실,서울_세종로_신호등,귀국,개입,청와대_청와대,사실,사저,회장_귀국"
2012.10.24,6,한경연,차기,정부,과제,경제,성장,"차기_정부_과제,경제,경제_성장,한경연,성장,정부"
2012.10.24,7,강원도,위원,위원회,활동,논란,,"논란,활동,강원,강원도,위원,위원회"
2012.10.24,8,대통령,아들,이시형,이시형씨,,,"아들,아들_이시형,대통령,이시형씨,이시형"
2012.10.24,9,주택,공급,물량,가구,,,"강남,자리,맞불,특별,추진,고양원흥_보금자리지구_분양,청약,접수,보금자리,당첨확률,배정물량_탄력,보금자리_특별공급분,임대주택,분양,보금자리_청약미달물량_자격자,개시,미달,보금자리주택_특별공급,보금자리_특별공급,지구,탄력_조정,운영,문수데시앙,당첨확,배정,가구,분납,공공,탄력조정,고양원흥,공급,추가,보금자리_청약미달물량,이달,보금자리_새이름,고양원흥_보금자리지구,율리,보금자리주택,특별공급,이름,주택,강남보금자리지구,강남보금자리,고양,추가_공급,분납임대,임대,탄력,보금자리지구,물량,조정,오피스텔,자격자,이달내_접수개시,급분,이목,고양원흥_보금자리,원흥"
2012.10.24,10,오바마,토론,주도,롬니,총사령관,합격,"총사령관,토론,주도,롬니,오바마,합격"
